,X,Y,condition,genotype,sex,replicate
1,281,0.02423469387755106,cont,mhc,m,4
2,239,0.75,cont,mhc,m,4
3,247,0.7589285714285714,cont,mhc,m,4
4,90,0.846938775510204,cont,mhc,m,4
5,262,0.8545918367346939,cont,mhc,m,4
6,200,0.8877551020408163,cont,mhc,m,4
7,200,0.7372448979591837,cont,mhc,m,4
8,37,0.7423469387755102,cont,mhc,m,4
9,81,0.8035714285714286,cont,mhc,m,4
10,144,0.846938775510204,cont,mhc,m,4
11,259,0.8622448979591837,cont,mhc,m,4
12,32,0.8711734693877551,cont,mhc,m,4
13,19,0.8558673469387755,cont,mhc,m,4
14,247,0.7869897959183674,cont,mhc,m,4
15,225,0.8176020408163265,cont,mhc,m,4
16,219,0.8227040816326531,cont,mhc,m,4
17,172,0.8826530612244898,cont,mhc,m,4
18,61,0.840561224489796,cont,mhc,m,4
19,27,0.8482142857142857,cont,mhc,m,4
20,46,0.860969387755102,cont,mhc,m,4
21,263,0.8903061224489796,cont,mhc,m,4
22,118,0.9068877551020408,cont,mhc,m,4
23,187,0.9272959183673469,cont,mhc,m,4
24,152,0.9400510204081632,cont,mhc,m,4
25,143,0.8278061224489796,cont,mhc,m,4
26,266,0.8660714285714286,cont,mhc,m,4
27,19,0.8788265306122449,cont,mhc,m,4
28,176,0.9413265306122449,cont,mhc,m,4
29,182,0.8686224489795918,cont,mhc,m,4
30,26,0.9107142857142857,cont,mhc,m,4
31,162,0.9005102040816326,cont,mhc,m,4
32,168,0.9119897959183674,cont,mhc,m,4
33,33,0.9170918367346939,cont,mhc,m,4
34,51,0.9272959183673469,cont,mhc,m,4
35,133,0.8941326530612245,cont,mhc,m,4
0,206,0.6466836734693877,cont,mhc,m,5
1,228,0.7053571428571428,cont,mhc,m,5
2,276,0.15688775510204078,cont,mhc,m,5
3,88,0.5484693877551021,cont,mhc,m,5
4,46,0.7831632653061225,cont,mhc,m,5
5,271,0.7551020408163265,cont,mhc,m,5
6,205,0.9081632653061225,cont,mhc,m,5
7,237,0.5459183673469388,cont,mhc,m,5
